"Reference","Value","Footprint","QUANTITY"
"D1-D16","BAT85","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","16"
"J1","PAD1_TRS_6.35MM","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","1"
"J2","PAD2_TRS_6.35MM","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","1"
"J3","PAD3_TRS_6.35MM","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","1"
"J4","PAD4_TRS_6.35MM","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","1"
"J5","PAD5_TRS_6.35MM","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","1"
"J6","PAD6_TRS_6.35MM","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","1"
"J7","PAD7_TRS_6.35MM","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","1"
"J8","PAD8_TRS_6.35MM","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","1"
"J9","LINK_TO_MAINBOARD","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","1"
"R1-R16","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","16"
"R17-R32","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","16"
"U1","HC4067_CHANNELS","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","1"
"U2","HC4067_CTRL","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1"
